Panel,Logical_Rack_Cd,Slot_Cd,Rack_And_Slot,IO_Card_Type_Cd,Rack_Status,EPlan_Card_Typical,Card_Drawing_Number,Terminal_Block,Card_Drawing_Revision_ID,Revision_Order,Revision_Cd,Revision_Desc,Revision_Dt,Drafter_Initials,Engineer_Initials,Is_Hidden,Card_Drawing_File,Point_Cnt,Card_Typical,IO_Card_ID,IO_Slot_ID,IO_Rack_ID,Revision_ID,Site_ID,Username
PLC02: STANDARD PANEL 2 DAY 2 EXERCISE,R02A,03,R02A:03,1756-N2,,"PN:=""1756-N2"";CW:=""BLANK""",404,,4AE4EE46-800B-F111-A096-005056BE0E49,1,B,IN OFFICE ISSUE SECOND,2/18/2026 0:00,DDD,EEE,0,,,AB-56-N2-X-X-X-X-11X17,3201D89E-2B21-4A51-9E0D-019C4EDA7ECC,2C613F59-7240-41C0-B288-019C4ED20813,1EB3DE78-1AE0-40AA-8722-019C4ED207C3,5088DE78-5449-4330-931F-019C4ECD64DA,55499001-0A74-4983-9858-019C4ECD64D5,
PLC02: STANDARD PANEL 2 DAY 2 EXERCISE,R02A,03,R02A:03,1756-N2,,"PN:=""1756-N2"";CW:=""BLANK""",404,,8E857BD5-7F0B-F111-A096-005056BE0E49,2,A,IN OFFICE ISSUE,2/16/2026 0:00,AAA,BBB,0,,,AB-56-N2-X-X-X-X-11X17,3201D89E-2B21-4A51-9E0D-019C4EDA7ECC,2C613F59-7240-41C0-B288-019C4ED20813,1EB3DE78-1AE0-40AA-8722-019C4ED207C3,5088DE78-5449-4330-931F-019C4ECD64DA,55499001-0A74-4983-9858-019C4ECD64D5,
PLC02: STANDARD PANEL 2 DAY 2 EXERCISE,R02A,04,R02A:04,1756-N2,,"PN:=""1756-N2"";CW:=""BLANK""",405,,4BE4EE46-800B-F111-A096-005056BE0E49,1,B,IN OFFICE ISSUE SECOND,2/18/2026 0:00,DDD,EEE,0,,,AB-56-N2-X-X-X-X-11X17,CBD44554-51E4-4EC8-9B2B-019C4EDAA7FB,532DEFE3-2750-4495-B4EC-019C4ED20813,1EB3DE78-1AE0-40AA-8722-019C4ED207C3,5088DE78-5449-4330-931F-019C4ECD64DA,55499001-0A74-4983-9858-019C4ECD64D5,
PLC02: STANDARD PANEL 2 DAY 2 EXERCISE,R02A,04,R02A:04,1756-N2,,"PN:=""1756-N2"";CW:=""BLANK""",405,,8F857BD5-7F0B-F111-A096-005056BE0E49,2,A,IN OFFICE ISSUE,2/16/2026 0:00,AAA,BBB,0,,,AB-56-N2-X-X-X-X-11X17,CBD44554-51E4-4EC8-9B2B-019C4EDAA7FB,532DEFE3-2750-4495-B4EC-019C4ED20813,1EB3DE78-1AE0-40AA-8722-019C4ED207C3,5088DE78-5449-4330-931F-019C4ECD64DA,55499001-0A74-4983-9858-019C4ECD64D5,
PLC02: STANDARD PANEL 2 DAY 2 EXERCISE,R02A,05,R02A:05,1756-OB32,,"PN:=""1756-OB32"";CW:=""DCO"";TS:=""Lh&F;Lj|PXC|24V""",406,TB4A,4CE4EE46-800B-F111-A096-005056BE0E49,1,B,IN OFFICE ISSUE SECOND,2/18/2026 0:00,DDD,EEE,0,,32,AB-56-OB32-F-IC-MT-X-X,E32495BF-CE01-425E-AD0B-019C4EDAD6EA,A9A4BE53-CE37-4BAC-8331-019C4ED20813,1EB3DE78-1AE0-40AA-8722-019C4ED207C3,5088DE78-5449-4330-931F-019C4ECD64DA,55499001-0A74-4983-9858-019C4ECD64D5,
PLC02: STANDARD PANEL 2 DAY 2 EXERCISE,R02A,05,R02A:05,1756-OB32,,"PN:=""1756-OB32"";CW:=""DCO"";TS:=""Lh&F;Lj|PXC|24V""",406,TB4A,90857BD5-7F0B-F111-A096-005056BE0E49,2,A,IN OFFICE ISSUE,2/16/2026 0:00,AAA,BBB,0,,32,AB-56-OB32-F-IC-MT-X-X,E32495BF-CE01-425E-AD0B-019C4EDAD6EA,A9A4BE53-CE37-4BAC-8331-019C4ED20813,1EB3DE78-1AE0-40AA-8722-019C4ED207C3,5088DE78-5449-4330-931F-019C4ECD64DA,55499001-0A74-4983-9858-019C4ECD64D5,
PLC02: STANDARD PANEL 2 DAY 2 EXERCISE,R02A,06,R02A:06,1756-OW16I,,"PN:=""1756-OW16I"";CW:=""DORLY-120"";TS:=""F;L|PXC|120V""",407,TB4B,4DE4EE46-800B-F111-A096-005056BE0E49,1,B,IN OFFICE ISSUE SECOND,2/18/2026 0:00,DDD,EEE,0,,16,AB-56-OW16I-F-IC-MT-RLY-X,42C606B6-55DB-49FF-94D8-019C4EDB1156,4DFCBDA6-D57C-4C81-BE80-019C4ED20813,1EB3DE78-1AE0-40AA-8722-019C4ED207C3,5088DE78-5449-4330-931F-019C4ECD64DA,55499001-0A74-4983-9858-019C4ECD64D5,
PLC02: STANDARD PANEL 2 DAY 2 EXERCISE,R02A,06,R02A:06,1756-OW16I,,"PN:=""1756-OW16I"";CW:=""DORLY-120"";TS:=""F;L|PXC|120V""",407,TB4B,91857BD5-7F0B-F111-A096-005056BE0E49,2,A,IN OFFICE ISSUE,2/16/2026 0:00,AAA,BBB,0,,16,AB-56-OW16I-F-IC-MT-RLY-X,42C606B6-55DB-49FF-94D8-019C4EDB1156,4DFCBDA6-D57C-4C81-BE80-019C4ED20813,1EB3DE78-1AE0-40AA-8722-019C4ED207C3,5088DE78-5449-4330-931F-019C4ECD64DA,55499001-0A74-4983-9858-019C4ECD64D5,
PLC02: STANDARD PANEL 2 DAY 2 EXERCISE,R02A,07,R02A:07,1756-N2,,"PN:=""1756-N2"";CW:=""BLANK""",408,,4EE4EE46-800B-F111-A096-005056BE0E49,1,B,IN OFFICE ISSUE SECOND,2/18/2026 0:00,DDD,EEE,0,,,AB-56-N2-X-X-X-X-11X17,DBF4A173-28D6-47DA-BB1D-019C4EDC1146,6B3DF195-2F8E-4290-AC7F-019C4ED20813,1EB3DE78-1AE0-40AA-8722-019C4ED207C3,5088DE78-5449-4330-931F-019C4ECD64DA,55499001-0A74-4983-9858-019C4ECD64D5,
PLC02: STANDARD PANEL 2 DAY 2 EXERCISE,R02A,07,R02A:07,1756-N2,,"PN:=""1756-N2"";CW:=""BLANK""",408,,92857BD5-7F0B-F111-A096-005056BE0E49,2,A,IN OFFICE ISSUE,2/16/2026 0:00,AAA,BBB,0,,,AB-56-N2-X-X-X-X-11X17,DBF4A173-28D6-47DA-BB1D-019C4EDC1146,6B3DF195-2F8E-4290-AC7F-019C4ED20813,1EB3DE78-1AE0-40AA-8722-019C4ED207C3,5088DE78-5449-4330-931F-019C4ECD64DA,55499001-0A74-4983-9858-019C4ECD64D5,
PLC02: STANDARD PANEL 2 DAY 2 EXERCISE,R02A,08,R02A:08,1756-N2,,"PN:=""1756-N2"";CW:=""BLANK""",409,,4FE4EE46-800B-F111-A096-005056BE0E49,1,B,IN OFFICE ISSUE SECOND,2/18/2026 0:00,DDD,EEE,0,,,AB-56-N2-X-X-X-X-11X17,77420DE5-A9A6-43BF-A29E-019C4EDC4ED5,461C31C8-78C8-4912-AA79-019C4ED20813,1EB3DE78-1AE0-40AA-8722-019C4ED207C3,5088DE78-5449-4330-931F-019C4ECD64DA,55499001-0A74-4983-9858-019C4ECD64D5,
PLC02: STANDARD PANEL 2 DAY 2 EXERCISE,R02A,08,R02A:08,1756-N2,,"PN:=""1756-N2"";CW:=""BLANK""",409,,93857BD5-7F0B-F111-A096-005056BE0E49,2,A,IN OFFICE ISSUE,2/16/2026 0:00,AAA,BBB,0,,,AB-56-N2-X-X-X-X-11X17,77420DE5-A9A6-43BF-A29E-019C4EDC4ED5,461C31C8-78C8-4912-AA79-019C4ED20813,1EB3DE78-1AE0-40AA-8722-019C4ED207C3,5088DE78-5449-4330-931F-019C4ECD64DA,55499001-0A74-4983-9858-019C4ECD64D5,
PLC02: STANDARD PANEL 2 DAY 2 EXERCISE,R02A,09,R02A:09,1756-N2,,"PN:=""1756-N2"";CW:=""BLANK""",410,,50E4EE46-800B-F111-A096-005056BE0E49,1,B,IN OFFICE ISSUE SECOND,2/18/2026 0:00,DDD,EEE,0,,,AB-56-N2-X-X-X-X-11X17,9960CF27-94C2-4FC9-837C-019C4EDC7610,87380818-B5EF-4CF5-8CE0-019C4ED20813,1EB3DE78-1AE0-40AA-8722-019C4ED207C3,5088DE78-5449-4330-931F-019C4ECD64DA,55499001-0A74-4983-9858-019C4ECD64D5,
PLC02: STANDARD PANEL 2 DAY 2 EXERCISE,R02A,09,R02A:09,1756-N2,,"PN:=""1756-N2"";CW:=""BLANK""",410,,94857BD5-7F0B-F111-A096-005056BE0E49,2,A,IN OFFICE ISSUE,2/16/2026 0:00,AAA,BBB,0,,,AB-56-N2-X-X-X-X-11X17,9960CF27-94C2-4FC9-837C-019C4EDC7610,87380818-B5EF-4CF5-8CE0-019C4ED20813,1EB3DE78-1AE0-40AA-8722-019C4ED207C3,5088DE78-5449-4330-931F-019C4ECD64DA,55499001-0A74-4983-9858-019C4ECD64D5,
PLC02: STANDARD PANEL 2 DAY 2 EXERCISE,R02A,10,R02A:10,1756-N2,,"PN:=""1756-N2"";CW:=""BLANK""",411,,51E4EE46-800B-F111-A096-005056BE0E49,1,B,IN OFFICE ISSUE SECOND,2/18/2026 0:00,DDD,EEE,0,,,AB-56-N2-X-X-X-X-11X17,3C29BF68-A29A-4725-80AF-019C4EDCA5AD,6ED7055F-282C-431C-AA07-019C4ED20813,1EB3DE78-1AE0-40AA-8722-019C4ED207C3,5088DE78-5449-4330-931F-019C4ECD64DA,55499001-0A74-4983-9858-019C4ECD64D5,
PLC02: STANDARD PANEL 2 DAY 2 EXERCISE,R02A,10,R02A:10,1756-N2,,"PN:=""1756-N2"";CW:=""BLANK""",411,,95857BD5-7F0B-F111-A096-005056BE0E49,2,A,IN OFFICE ISSUE,2/16/2026 0:00,AAA,BBB,0,,,AB-56-N2-X-X-X-X-11X17,3C29BF68-A29A-4725-80AF-019C4EDCA5AD,6ED7055F-282C-431C-AA07-019C4ED20813,1EB3DE78-1AE0-40AA-8722-019C4ED207C3,5088DE78-5449-4330-931F-019C4ECD64DA,55499001-0A74-4983-9858-019C4ECD64D5,
PLC02: STANDARD PANEL 2 DAY 2 EXERCISE,R02A,11,R02A:11,1756-IB32,,"PN:=""1756-IB32"";CW:=""DCI"";TS:=""Lj;L&Lc|PXC|24V""",412,TB5A,52E4EE46-800B-F111-A096-005056BE0E49,1,B,IN OFFICE ISSUE SECOND,2/18/2026 0:00,DDD,EEE,0,,32,AB-56-IB32-NF-IC-MT-SK-X,E705EB38-4BA8-4648-892F-019C4EDCC649,A84F340A-E964-44AD-BDAA-019C4ED20813,1EB3DE78-1AE0-40AA-8722-019C4ED207C3,5088DE78-5449-4330-931F-019C4ECD64DA,55499001-0A74-4983-9858-019C4ECD64D5,
PLC02: STANDARD PANEL 2 DAY 2 EXERCISE,R02A,11,R02A:11,1756-IB32,,"PN:=""1756-IB32"";CW:=""DCI"";TS:=""Lj;L&Lc|PXC|24V""",412,TB5A,96857BD5-7F0B-F111-A096-005056BE0E49,2,A,IN OFFICE ISSUE,2/16/2026 0:00,AAA,BBB,0,,32,AB-56-IB32-NF-IC-MT-SK-X,E705EB38-4BA8-4648-892F-019C4EDCC649,A84F340A-E964-44AD-BDAA-019C4ED20813,1EB3DE78-1AE0-40AA-8722-019C4ED207C3,5088DE78-5449-4330-931F-019C4ECD64DA,55499001-0A74-4983-9858-019C4ECD64D5,
PLC02: STANDARD PANEL 2 DAY 2 EXERCISE,R02A,12,R02A:12,1756-IA16I,,"PN:=""1756-IA16I"";CW:=""IDI"";TS:=""L;L|PXC|120V""",413,TB5B,53E4EE46-800B-F111-A096-005056BE0E49,1,B,IN OFFICE ISSUE SECOND,2/18/2026 0:00,DDD,EEE,0,,16,AB-56-IA16I-NF-IC-MT-X-X,BF57E778-DBCE-42CA-B4B4-019C4EDD1066,E96702A0-6179-4450-BBC3-019C4ED20813,1EB3DE78-1AE0-40AA-8722-019C4ED207C3,5088DE78-5449-4330-931F-019C4ECD64DA,55499001-0A74-4983-9858-019C4ECD64D5,
PLC02: STANDARD PANEL 2 DAY 2 EXERCISE,R02A,12,R02A:12,1756-IA16I,,"PN:=""1756-IA16I"";CW:=""IDI"";TS:=""L;L|PXC|120V""",413,TB5B,97857BD5-7F0B-F111-A096-005056BE0E49,2,A,IN OFFICE ISSUE,2/16/2026 0:00,AAA,BBB,0,,16,AB-56-IA16I-NF-IC-MT-X-X,BF57E778-DBCE-42CA-B4B4-019C4EDD1066,E96702A0-6179-4450-BBC3-019C4ED20813,1EB3DE78-1AE0-40AA-8722-019C4ED207C3,5088DE78-5449-4330-931F-019C4ECD64DA,55499001-0A74-4983-9858-019C4ECD64D5,
PLC02: STANDARD PANEL 2 DAY 2 EXERCISE,R02A,13,R02A:13,1756-N2,,"PN:=""1756-N2"";CW:=""BLANK""",414,,54E4EE46-800B-F111-A096-005056BE0E49,1,B,IN OFFICE ISSUE SECOND,2/18/2026 0:00,DDD,EEE,0,,,AB-56-N2-X-X-X-X-11X17,A3193544-B53A-47C8-86DB-019C4EDD40CE,6E5D2244-28A2-40F0-BA15-019C4ED20813,1EB3DE78-1AE0-40AA-8722-019C4ED207C3,5088DE78-5449-4330-931F-019C4ECD64DA,55499001-0A74-4983-9858-019C4ECD64D5,
PLC02: STANDARD PANEL 2 DAY 2 EXERCISE,R02A,13,R02A:13,1756-N2,,"PN:=""1756-N2"";CW:=""BLANK""",414,,98857BD5-7F0B-F111-A096-005056BE0E49,2,A,IN OFFICE ISSUE,2/16/2026 0:00,AAA,BBB,0,,,AB-56-N2-X-X-X-X-11X17,A3193544-B53A-47C8-86DB-019C4EDD40CE,6E5D2244-28A2-40F0-BA15-019C4ED20813,1EB3DE78-1AE0-40AA-8722-019C4ED207C3,5088DE78-5449-4330-931F-019C4ECD64DA,55499001-0A74-4983-9858-019C4ECD64D5,
PLC02: STANDARD PANEL 2 DAY 2 EXERCISE,R02A,14,R02A:14,1756-N2,,"PN:=""1756-N2"";CW:=""BLANK""",415,,55E4EE46-800B-F111-A096-005056BE0E49,1,B,IN OFFICE ISSUE SECOND,2/18/2026 0:00,DDD,EEE,0,,,AB-56-N2-X-X-X-X-11X17,37CED96F-5443-4BCD-8567-019C4EDDD07C,425FB837-3262-4809-87AB-019C4ED20813,1EB3DE78-1AE0-40AA-8722-019C4ED207C3,5088DE78-5449-4330-931F-019C4ECD64DA,55499001-0A74-4983-9858-019C4ECD64D5,
PLC02: STANDARD PANEL 2 DAY 2 EXERCISE,R02A,14,R02A:14,1756-N2,,"PN:=""1756-N2"";CW:=""BLANK""",415,,99857BD5-7F0B-F111-A096-005056BE0E49,2,A,IN OFFICE ISSUE,2/16/2026 0:00,AAA,BBB,0,,,AB-56-N2-X-X-X-X-11X17,37CED96F-5443-4BCD-8567-019C4EDDD07C,425FB837-3262-4809-87AB-019C4ED20813,1EB3DE78-1AE0-40AA-8722-019C4ED207C3,5088DE78-5449-4330-931F-019C4ECD64DA,55499001-0A74-4983-9858-019C4ECD64D5,
PLC02: STANDARD PANEL 2 DAY 2 EXERCISE,R02A,15,R02A:15,1756-N2,,"PN:=""1756-N2"";CW:=""BLANK""",416,,56E4EE46-800B-F111-A096-005056BE0E49,1,B,IN OFFICE ISSUE SECOND,2/18/2026 0:00,DDD,EEE,0,,,AB-56-N2-X-X-X-X-11X17,22DB14F7-1C3D-4E97-B60B-019C4EDE045E,CBFF5FCD-B123-42A6-A2D5-019C4ED20814,1EB3DE78-1AE0-40AA-8722-019C4ED207C3,5088DE78-5449-4330-931F-019C4ECD64DA,55499001-0A74-4983-9858-019C4ECD64D5,
PLC02: STANDARD PANEL 2 DAY 2 EXERCISE,R02A,15,R02A:15,1756-N2,,"PN:=""1756-N2"";CW:=""BLANK""",416,,9A857BD5-7F0B-F111-A096-005056BE0E49,2,A,IN OFFICE ISSUE,2/16/2026 0:00,AAA,BBB,0,,,AB-56-N2-X-X-X-X-11X17,22DB14F7-1C3D-4E97-B60B-019C4EDE045E,CBFF5FCD-B123-42A6-A2D5-019C4ED20814,1EB3DE78-1AE0-40AA-8722-019C4ED207C3,5088DE78-5449-4330-931F-019C4ECD64DA,55499001-0A74-4983-9858-019C4ECD64D5,
PLC02: STANDARD PANEL 2 DAY 2 EXERCISE,R02A,16,R02A:16,1756-EN4TR,,,417,,57E4EE46-800B-F111-A096-005056BE0E49,1,B,IN OFFICE ISSUE SECOND,2/18/2026 0:00,DDD,EEE,0,,,AB-56-EN4TR-X-X-X-X-X,E4CB166E-2FB4-4CFE-95FA-019C4EDE21B3,EDD1F73E-FEFA-4F49-A5AF-019C4ED20814,1EB3DE78-1AE0-40AA-8722-019C4ED207C3,5088DE78-5449-4330-931F-019C4ECD64DA,55499001-0A74-4983-9858-019C4ECD64D5,
PLC02: STANDARD PANEL 2 DAY 2 EXERCISE,R02A,16,R02A:16,1756-EN4TR,,,417,,9B857BD5-7F0B-F111-A096-005056BE0E49,2,A,IN OFFICE ISSUE,2/16/2026 0:00,AAA,BBB,0,,,AB-56-EN4TR-X-X-X-X-X,E4CB166E-2FB4-4CFE-95FA-019C4EDE21B3,EDD1F73E-FEFA-4F49-A5AF-019C4ED20814,1EB3DE78-1AE0-40AA-8722-019C4ED207C3,5088DE78-5449-4330-931F-019C4ECD64DA,55499001-0A74-4983-9858-019C4ECD64D5,
PLC02: STANDARD PANEL 2 DAY 2 EXERCISE,R10A,00,R10A:00,5069-AENTR,READY,"PN:=""5069-AENTR"";CW:=""COMM-1""",419,,8F93F446-090D-F111-A096-005056BE0E49,1,0,EPLAN TRAINING ,2/18/2026 0:00,NRM,EKS,0,,,,C2F6A846-AE93-49CD-8528-019C71C23FFB,C5E192CA-1EFC-4C09-9ECC-019C71C203BB,E7AFFBEB-C732-452E-AFB9-019C71C2036A,5088DE78-5449-4330-931F-019C4ECD64DA,55499001-0A74-4983-9858-019C4ECD64D5,
PLC02: STANDARD PANEL 2 DAY 2 EXERCISE,R10A,01,R10A:01,5069-IF8,READY,"PN:=""5069-IF8"";CW:=""AI-C-LP"";TS:=""L;L;G|PXC|24V""",420,TB99A,4F1FCF3E-090D-F111-A096-005056BE0E49,1,A,IN OFFICE ISSUE,2/18/2026 0:00,JCT,JGR,0,,8,&nbsp;,C11B6CC3-5C86-4C51-968E-019C71C2760A,779CB65A-5795-45D3-A427-019C71C203BB,E7AFFBEB-C732-452E-AFB9-019C71C2036A,5088DE78-5449-4330-931F-019C4ECD64DA,55499001-0A74-4983-9858-019C4ECD64D5,
PLC02: STANDARD PANEL 2 DAY 2 EXERCISE,R10A,02,R10A:02,5069-OB16,READY,,421,TB99B,9093F446-090D-F111-A096-005056BE0E49,1,A,IN OFFICE ISSUE,2/18/2026 0:00,LCH,RMZ,0,,16,&nbsp;,8D082E43-FD7B-4E48-A31E-019C71C29DD3,2B1D2015-A7BA-4390-869C-019C71C203BB,E7AFFBEB-C732-452E-AFB9-019C71C2036A,5088DE78-5449-4330-931F-019C4ECD64DA,55499001-0A74-4983-9858-019C4ECD64D5,
PLC02: STANDARD PANEL 2 DAY 2 EXERCISE,R10A,03,R10A:03,5069-FPD,READY,"PN:=""5069-FPD"";CW:=""POWER""",422,,75004054-090D-F111-A096-005056BE0E49,1,A,WONDERFUL,2/18/2026 0:00,STH,FJG,0,,,&nbsp;,FBBC8AEC-CBA7-41AD-A996-019C71C2AFCA,9C86FBD2-8D46-428E-87FA-019C71C203BB,E7AFFBEB-C732-452E-AFB9-019C71C2036A,5088DE78-5449-4330-931F-019C4ECD64DA,55499001-0A74-4983-9858-019C4ECD64D5,
PLC02: STANDARD PANEL 2 DAY 2 EXERCISE,R10A,04,R10A:04,5069-IA16,READY,"PN:=""5069-IA16"";CW:=""DI"";TS:=""Fj;L&Lc|PXC|120V""",423,TB99C,28D84B0A-090D-F111-A096-005056BE0E49,1,A,EPLAN TESTING,2/18/2026 0:00,MJM,MSW,0,,16,&nbsp;,8DE3E8B9-8CDC-4220-9955-019C71C2C25B,D315939F-B654-4B2D-B2BD-019C71C203BB,E7AFFBEB-C732-452E-AFB9-019C71C2036A,5088DE78-5449-4330-931F-019C4ECD64DA,55499001-0A74-4983-9858-019C4ECD64D5,
